incident_id,source_count,best_single_known_fields,fused_known_fields,material_field_count,best_single_completeness,fused_completeness,absolute_completeness_gain,relative_completeness_gain,fusion_information_gain_fields
inc_062ef1501b00ed3d,2,5,5,11,0.4545,0.4545,0.0,0.0,0
inc_f694c4cdfde54259,3,3,3,11,0.2727,0.2727,0.0,0.0,0
inc_d4ea76e29936da29,2,4,4,11,0.3636,0.3636,0.0,0.0,0
inc_c1b4b4da11cfc4df,2,4,4,11,0.3636,0.3636,0.0,0.0,0
inc_b0eae1856641ab8d,5,5,6,11,0.4545,0.5455,0.0909,0.2,1
inc_7f5a385c571d19e6,4,4,4,11,0.3636,0.3636,0.0,0.0,0
inc_a6e482a35e19252c,2,4,4,11,0.3636,0.3636,0.0,0.0,0
inc_60b3256e7667be07,2,3,3,11,0.2727,0.2727,0.0,0.0,0
inc_0d63efdea6ea120d,2,3,3,11,0.2727,0.2727,0.0,0.0,0
inc_13fd5a8026a18370,2,4,4,11,0.3636,0.3636,0.0,0.0,0
inc_792e064d5e755407,2,4,4,11,0.3636,0.3636,0.0,0.0,0
inc_5295fb3337a5966b,2,3,3,11,0.2727,0.2727,0.0,0.0,0
inc_36b56431143075ad,2,3,3,11,0.2727,0.2727,0.0,0.0,0
inc_9be217d5da923c95,2,3,3,11,0.2727,0.2727,0.0,0.0,0
inc_853da268b688f4a2,3,3,3,11,0.2727,0.2727,0.0,0.0,0
inc_36606dd3867022d0,2,5,5,11,0.4545,0.4545,0.0,0.0,0
inc_7a1aba27b4aad602,2,6,6,11,0.5455,0.5455,0.0,0.0,0
inc_4303dc258abb3e6e,3,3,3,11,0.2727,0.2727,0.0,0.0,0
inc_1da2a4076b766070,4,6,6,11,0.5455,0.5455,0.0,0.0,0
inc_8e2df6af2d1a96a5,4,5,5,11,0.4545,0.4545,0.0,0.0,0
inc_ef1b5b4c069a5151,2,4,4,11,0.3636,0.3636,0.0,0.0,0
inc_777f6ec70eaf4edf,2,3,3,11,0.2727,0.2727,0.0,0.0,0
inc_ebd686580517c84a,3,3,3,11,0.2727,0.2727,0.0,0.0,0
inc_a9ab4d5138a1cbab,3,4,5,11,0.3636,0.4545,0.0909,0.25,1
inc_a94c32e550e9c803,2,5,5,11,0.4545,0.4545,0.0,0.0,0
inc_a70bfc279b5e8bd8,2,5,5,11,0.4545,0.4545,0.0,0.0,0
inc_174f491a4f42bac9,2,5,5,11,0.4545,0.4545,0.0,0.0,0
inc_e34c9b64056f9976,3,5,5,11,0.4545,0.4545,0.0,0.0,0
inc_67513164bd67f1f2,2,4,4,11,0.3636,0.3636,0.0,0.0,0
inc_cd3bcf3014f0c0dd,4,4,4,11,0.3636,0.3636,0.0,0.0,0
inc_d361bfea956203be,2,4,4,11,0.3636,0.3636,0.0,0.0,0
inc_3729e427d559ddcc,2,4,4,11,0.3636,0.3636,0.0,0.0,0
inc_2f84f52c595b1c7c,2,5,6,11,0.4545,0.5455,0.0909,0.2,1
inc_1918bf026e85952e,2,3,3,11,0.2727,0.2727,0.0,0.0,0
inc_441f9cfa9e63b4c1,2,5,5,11,0.4545,0.4545,0.0,0.0,0
inc_9722274c9f006fcc,2,6,6,11,0.5455,0.5455,0.0,0.0,0
inc_a8f9cd1d3e3d5eaf,2,4,4,11,0.3636,0.3636,0.0,0.0,0
inc_902438c3a6e267b3,2,3,3,11,0.2727,0.2727,0.0,0.0,0
inc_98d511dce15743f7,2,5,5,11,0.4545,0.4545,0.0,0.0,0
inc_bd7e55c9b89fc4c4,2,4,4,11,0.3636,0.3636,0.0,0.0,0
inc_04306df29b31ded0,2,5,5,11,0.4545,0.4545,0.0,0.0,0
inc_15e6e3177a759c11,2,4,4,11,0.3636,0.3636,0.0,0.0,0
inc_a1ffad7d24b78d68,4,6,6,11,0.5455,0.5455,0.0,0.0,0
inc_ac718a8fc508e843,2,5,5,11,0.4545,0.4545,0.0,0.0,0
inc_fff928196c25af3b,2,5,5,11,0.4545,0.4545,0.0,0.0,0
inc_c76dd2b445cd33d1,2,4,4,11,0.3636,0.3636,0.0,0.0,0
inc_4939fb0bbbe82949,4,5,5,11,0.4545,0.4545,0.0,0.0,0
inc_6d040957f2751812,2,5,5,11,0.4545,0.4545,0.0,0.0,0
inc_9aeb751843b8193f,2,4,4,11,0.3636,0.3636,0.0,0.0,0
