field,metric,value,n
fatalities,gold_known_n,6,6
fatalities,prediction_available_n,6,6
fatalities,missing_prediction_n,0,6
fatalities,exact_match_count,4,6
fatalities,exact_match_accuracy,0.6667,6
fatalities,mean_absolute_error,1.6667,6
fatalities,reference_total,18,6
fatalities,predicted_total,20,6
fatalities,overestimation_count,1,6
fatalities,underestimation_count,1,6
fatalities,missing predictions are errors,False,6
injuries,gold_known_n,2,2
injuries,prediction_available_n,2,2
injuries,missing_prediction_n,0,2
injuries,exact_match_count,1,2
injuries,exact_match_accuracy,0.5,2
injuries,mean_absolute_error,0.5,2
injuries,reference_total,26,2
injuries,predicted_total,27,2
injuries,overestimation_count,1,2
injuries,underestimation_count,0,2
injuries,missing predictions are errors,False,2
location,text_label_n,6,6
location,exact_normalized_count,1,6
location,exact_normalized_agreement,0.1667,6
location,semantic_required_term_count,5,6
location,semantic_location_agreement,0.8333,6
location,granularity_agreement_count,1,6
location,granularity_agreement,0.1667,6
location,coordinate_reference_n,0,6
incident_type,evaluable_n,0,
event_time,evaluable_n,0,
