field,modality,incident_count,percent_of_fused_incidents
contributing_factors,text,2,22.2222
emergency_response,image,1,11.1111
emergency_response,text,4,44.4444
emergency_response,video,1,11.1111
fatalities,image,1,11.1111
fatalities,text,4,44.4444
fatalities,video,4,44.4444
incident_type,text,7,77.7778
injuries,text,4,44.4444
injuries,video,3,33.3333
location,image,2,22.2222
location,text,7,77.7778
location,video,3,33.3333
road_blockage,image,1,11.1111
road_blockage,text,2,22.2222
road_users,video,2,22.2222
vehicles,video,2,22.2222
