incident_id,source_records,unique_publishers,unique_domains,modalities,independent_groups,raw_minus_independent
inc_062ef1501b00ed3d,2,2,2,1,2,0
inc_f83c1620af1efef4,1,1,1,1,1,0
inc_9065b0d85d42f54b,1,1,1,1,1,0
inc_a783aee6927c907b,1,1,1,1,1,0
inc_5d19907f030dfcf9,1,1,1,1,1,0
inc_27a90a2f84824673,1,1,1,1,1,0
inc_416d875567f1def5,1,1,1,1,1,0
inc_e96a5338f28a98f1,1,1,1,1,1,0
inc_8930d05a0049fff1,1,1,1,1,1,0
inc_f694c4cdfde54259,3,3,3,1,3,0
inc_9a635e8378264ac8,1,1,1,1,1,0
inc_b0675bd8baf673ff,1,1,1,1,1,0
inc_5a93308a50e97311,1,1,1,1,1,0
inc_2e40b64f77dba026,1,1,1,1,1,0
inc_af8e2b35113d2d90,1,1,1,1,1,0
inc_84be69cf62989f6b,1,1,1,1,1,0
inc_870dd3fcef6f0222,1,1,1,1,1,0
inc_2965afff8f4952eb,1,1,1,1,1,0
inc_ccfe15e5ac99e2e3,1,1,1,1,1,0
inc_546059e288b2b4be,1,1,1,1,1,0
inc_a6c027192d21d009,1,1,1,1,1,0
inc_1a478347561cb5c8,1,1,1,1,1,0
inc_cfe1a68f98c663a7,1,1,1,1,1,0
inc_7cb0d0d5ce4e2758,1,1,1,1,1,0
inc_ab4942f69d73a6ce,1,1,1,1,1,0
inc_1342be4c53494948,1,1,1,1,1,0
inc_d481809789c89200,1,1,1,1,1,0
inc_d4ea76e29936da29,2,2,2,1,2,0
inc_a3dc55b133f12b67,1,1,1,1,1,0
inc_001f628dbd42fb7a,1,1,1,1,1,0
inc_9fbf221b8da43847,1,1,1,1,1,0
inc_e1fc701fb0b09cff,1,1,1,1,1,0
inc_d1a6d04807f0ddce,1,1,1,1,1,0
inc_4e40d827647e05de,1,1,1,1,1,0
inc_856153f13a430f01,1,1,1,1,1,0
inc_acbe29df74ecac01,1,1,1,1,1,0
inc_c1b4b4da11cfc4df,2,2,2,1,2,0
inc_b0eae1856641ab8d,5,4,4,1,4,1
inc_c91f20fa9d8117dd,1,1,1,1,1,0
inc_fe05c9db5620d056,1,1,1,1,1,0
inc_a614ce723112d701,1,1,1,1,1,0
inc_0dfd640a2f72df0c,1,1,1,1,1,0
inc_7f5a385c571d19e6,4,4,4,1,4,0
inc_fd2b767fbab11c57,1,1,1,1,1,0
inc_a6e482a35e19252c,2,2,2,1,2,0
